Date,gold
1258-01-01,0.89
1259-01-01,0.89
1260-01-01,0.89
1261-01-01,0.89
1262-01-01,0.89
1263-01-01,0.89
1264-01-01,0.89
1265-01-01,1.07
1266-01-01,1.07
1267-01-01,1.07
1268-01-01,1.07
1269-01-01,1.07
1270-01-01,1.07
1271-01-01,1.07
1272-01-01,1.07
1273-01-01,1.07
1274-01-01,1.07
1275-01-01,1.07
1276-01-01,1.07
1277-01-01,1.07
1278-01-01,1.07
1279-01-01,1.07
1280-01-01,1.07
1281-01-01,1.07
1282-01-01,1.07
1283-01-01,1.07
1284-01-01,1.07
1285-01-01,1.07
1286-01-01,1.07
1287-01-01,1.07
1288-01-01,1.07
1289-01-01,1.07
1290-01-01,1.07
1291-01-01,1.07
1292-01-01,1.07
1293-01-01,1.07
1294-01-01,1.07
1295-01-01,1.07
1296-01-01,1.07
1297-01-01,1.07
1298-01-01,1.07
1299-01-01,1.07
1300-01-01,1.07
1301-01-01,1.07
1302-01-01,1.07
1303-01-01,1.07
1304-01-01,1.07
1305-01-01,1.07
1306-01-01,1.07
1307-01-01,1.07
1308-01-01,1.07
1309-01-01,1.07
1310-01-01,1.07
1311-01-01,1.07
1312-01-01,1.07
1313-01-01,1.07
1314-01-01,1.07
1315-01-01,1.07
1316-01-01,1.07
1317-01-01,1.07
1318-01-01,1.07
1319-01-01,1.07
1320-01-01,1.07
1321-01-01,1.07
1322-01-01,1.07
1323-01-01,1.07
1324-01-01,1.07
1325-01-01,1.07
1326-01-01,1.07
1327-01-01,1.07
1328-01-01,1.07
1329-01-01,1.07
1330-01-01,1.07
1331-01-01,1.07
1332-01-01,1.07
1333-01-01,1.07
1334-01-01,1.07
1335-01-01,1.07
1336-01-01,1.07
1337-01-01,1.07
1338-01-01,1.07
1339-01-01,1.07
1340-01-01,1.07
1341-01-01,1.07
1342-01-01,1.07
1343-01-01,1.33
1344-01-01,1.17
1345-01-01,1.17
1346-01-01,1.24
1347-01-01,1.24
1348-01-01,1.24
1349-01-01,1.25
1350-01-01,1.25
1351-01-01,1.34
1352-01-01,1.34
1353-01-01,1.34
1354-01-01,1.34
1355-01-01,1.34
1356-01-01,1.34
1357-01-01,1.34
1358-01-01,1.34
1359-01-01,1.34
1360-01-01,1.34
1361-01-01,1.34
1362-01-01,1.34
1363-01-01,1.34
1364-01-01,1.34
1365-01-01,1.34
1366-01-01,1.34
1367-01-01,1.34
1368-01-01,1.34
1369-01-01,1.34
1370-01-01,1.34
1371-01-01,1.34
1372-01-01,1.34
1373-01-01,1.34
1374-01-01,1.34
1375-01-01,1.34
1376-01-01,1.34
1377-01-01,1.34
1378-01-01,1.34
1379-01-01,1.34
1380-01-01,1.34
1381-01-01,1.34
1382-01-01,1.34
1383-01-01,1.34
1384-01-01,1.34
1385-01-01,1.34
1386-01-01,1.34
1387-01-01,1.34
1388-01-01,1.34
1389-01-01,1.34
1390-01-01,1.34
1391-01-01,1.34
1392-01-01,1.34
1393-01-01,1.34
1394-01-01,1.34
1395-01-01,1.34
1396-01-01,1.34
1397-01-01,1.34
1398-01-01,1.34
1399-01-01,1.34
1400-01-01,1.34
1401-01-01,1.34
1402-01-01,1.34
